id,category,keyword,example_user_text
295,FLEXIBILITY,body looseness,I want body looseness
296,FLEXIBILITY,poor mobility,My mobility is poor
297,FLEXIBILITY,mobility issue,I have mobility issues
298,FLEXIBILITY,flexibility exercise,I want flexibility exercises
299,FLEXIBILITY,stretch discomfort,Stretching causes discomfort
300,FLEXIBILITY,flexibility pain,I feel pain while stretching
301,FLEXIBILITY,body stiffness issue,I have body stiffness issue
302,FLEXIBILITY,flexibility yoga,I want flexibility yoga
303,FLEXIBILITY,stretch routine,I want a stretch routine
304,FLEXIBILITY,body mobility,I want better body mobility
305,FLEXIBILITY,stiff joints,My joints are stiff
306,FLEXIBILITY,muscle rigidity,I feel muscle rigidity
307,FLEXIBILITY,body stretch need,I need body stretching
308,FLEXIBILITY,flexibility limitation,I have flexibility limitations
309,FLEXIBILITY,restricted flexibility,My flexibility is restricted
310,FLEXIBILITY,body movement stiffness,My body movement is stiff
311,FLEXIBILITY,stretch difficulty,I find stretching difficult
312,FLEXIBILITY,body loosening yoga,I want body loosening yoga
313,FLEXIBILITY,flexibility concern,I am concerned about flexibility
314,FLEXIBILITY,stiffness problem,I have stiffness problem
315,FLEXIBILITY,stretch improvement,I want to improve stretching
316,FLEXIBILITY,flexibility loss,I feel flexibility loss
317,FLEXIBILITY,body tight feeling,I feel tight in my body
318,FLEXIBILITY,stiff body problem,I have stiff body problem
319,FLEXIBILITY,body flexibility issue,I have body flexibility issue
320,FLEXIBILITY,stretch pain,I get pain while stretching
321,FLEXIBILITY,flexibility goal,My goal is flexibility
322,FLEXIBILITY,body stiffness continuously,I have continuous body stiffness
323,FLEXIBILITY,flexibility health,Flexibility is affecting my health
324,GENERAL_FITNESS,fitness,I want general fitness
325,GENERAL_FITNESS,healthy,I want to stay healthy
326,GENERAL_FITNESS,energy,I want more energy in my body
327,GENERAL_FITNESS,fitness,I want general fitness
328,GENERAL_FITNESS,healthy body,I want a healthy body
329,GENERAL_FITNESS,stay fit,I want to stay fit
330,GENERAL_FITNESS,body fitness,I want to improve body fitness
331,GENERAL_FITNESS,overall fitness,I want overall fitness
332,GENERAL_FITNESS,physical fitness,I want physical fitness
333,GENERAL_FITNESS,good health,I want good health
334,GENERAL_FITNESS,healthy lifestyle,I want a healthy lifestyle
335,GENERAL_FITNESS,active body,I want an active body
336,GENERAL_FITNESS,fit body,I want a fit body
337,GENERAL_FITNESS,body strength,I want body strength
338,GENERAL_FITNESS,energy,I want more energy
339,GENERAL_FITNESS,body energy,I want more energy in my body
340,GENERAL_FITNESS,stamina,I want to increase stamina
341,GENERAL_FITNESS,body stamina,I want better body stamina
342,GENERAL_FITNESS,physical strength,I want physical strength
343,GENERAL_FITNESS,healthy routine,I want a healthy routine
344,GENERAL_FITNESS,fitness routine,I want a fitness routine
345,GENERAL_FITNESS,body movement,I want better body movement
346,GENERAL_FITNESS,flexible fitness,I want flexible fitness
347,GENERAL_FITNESS,fit lifestyle,I want a fit lifestyle
348,GENERAL_FITNESS,body wellness,I want body wellness
349,GENERAL_FITNESS,overall health,I want overall health
350,GENERAL_FITNESS,healthy living,I want healthy living
351,GENERAL_FITNESS,fitness improvement,I want to improve fitness
352,GENERAL_FITNESS,fitness goal,My goal is fitness
353,GENERAL_FITNESS,fitness training,I want fitness training
354,GENERAL_FITNESS,body balance,I want better body balance
355,GENERAL_FITNESS,mental and physical fitness,I want mental and physical fitness
356,GENERAL_FITNESS,healthy habits,I want to build healthy habits
357,GENERAL_FITNESS,fit and healthy,I want to be fit and healthy
358,GENERAL_FITNESS,body activation,I want body activation
359,GENERAL_FITNESS,fitness exercises,I want fitness exercises
360,GENERAL_FITNESS,daily fitness,I want daily fitness
361,GENERAL_FITNESS,body conditioning,I want body conditioning
362,GENERAL_FITNESS,fitness maintenance,I want to maintain fitness
363,GENERAL_FITNESS,healthy fitness,I want healthy fitness
364,GENERAL_FITNESS,physical wellness,I want physical wellness
365,GENERAL_FITNESS,fitness improvement plan,I want a fitness improvement plan
366,GENERAL_FITNESS,body freshness,I want body freshness
367,GENERAL_FITNESS,energy boost,I want an energy boost
368,GENERAL_FITNESS,active lifestyle,I want an active lifestyle
369,GENERAL_FITNESS,body vitality,I want body vitality
370,GENERAL_FITNESS,fitness health,Fitness is important for my health
371,GENERAL_FITNESS,full body fitness,I want full body fitness
372,GENERAL_FITNESS,balanced fitness,I want balanced fitness
373,GENERAL_FITNESS,fitness awareness,I want fitness awareness
374,GENERAL_FITNESS,health improvement,I want health improvement
375,GENERAL_FITNESS,body fitness improvement,I want body fitness improvement
376,GENERAL_FITNESS,fitness motivation,I need fitness motivation
377,GENERAL_FITNESS,healthy fitness goal,My goal is healthy fitness
378,GENERAL_FITNESS,fitness lifestyle,I want a fitness lifestyle
379,GENERAL_FITNESS,body activity,I want more body activity
380,GENERAL_FITNESS,fitness practice,I want fitness practice
381,GENERAL_FITNESS,body strengthening,I want body strengthening
382,GENERAL_FITNESS,physical activity,I want more physical activity
383,GENERAL_FITNESS,fitness focus,I want to focus on fitness
384,GENERAL_FITNESS,health and fitness,I want health and fitness
385,GENERAL_FITNESS,body endurance,I want body endurance
386,GENERAL_FITNESS,fitness improvement goal,My goal is fitness improvement
387,GENERAL_FITNESS,body care,I want to take care of my body
388,GENERAL_FITNESS,fitness habit,I want to build a fitness habit
389,GENERAL_FITNESS,healthy body goal,My goal is a healthy body
390,GENERAL_FITNESS,fitness awareness program,I want fitness awareness program
391,GENERAL_FITNESS,fitness consistency,I want fitness consistency
392,GENERAL_FITNESS,body conditioning exercises,I want body conditioning exercises
393,GENERAL_FITNESS,fitness improvement yoga,I want yoga for fitness improvement
394,GENERAL_FITNESS,body wellness routine,I want body wellness routine
395,GENERAL_FITNESS,fitness and energy,I want fitness and energy
396,GENERAL_FITNESS,overall body health,I want overall body health
397,GENERAL_FITNESS,fitness training routine,I want a fitness training routine
398,GENERAL_FITNESS,body fitness goal,My body fitness is my goal
399,GENERAL_FITNESS,healthy activity,I want healthy activity
400,GENERAL_FITNESS,fitness balance,I want fitness balance
401,GENERAL_FITNESS,fitness improvement exercises,I want exercises for fitness improvement
402,GENERAL_FITNESS,body strength improvement,I want body strength improvement
403,GENERAL_FITNESS,fitness energy boost,I want fitness energy boost
404,GENERAL_FITNESS,healthy physical body,I want a healthy physical body
405,GENERAL_FITNESS,fitness support,I need support for fitness
406,GENERAL_FITNESS,fitness development,I want fitness development
407,GENERAL_FITNESS,fitness progress,I want to see fitness progress
408,GENERAL_FITNESS,body performance,I want better body performance
409,GENERAL_FITNESS,fitness improvement lifestyle,I want a fitness improvement lifestyle
410,GENERAL_FITNESS,fitness and wellness,I want fitness and wellness
411,GENERAL_FITNESS,healthy body routine,I want a healthy body routine
412,GENERAL_FITNESS,fitness motivation help,I need help with fitness motivation
413,GENERAL_FITNESS,physical fitness improvement,I want physical fitness improvement
414,GENERAL_FITNESS,fitness habit building,I want to build fitness habits
415,GENERAL_FITNESS,healthy fitness lifestyle,I want a healthy fitness lifestyle
416,GENERAL_FITNESS,body energy improvement,I want body energy improvement
417,GENERAL_FITNESS,fitness care,I want fitness care
418,GENERAL_FITNESS,fitness improvement journey,I want to start my fitness journey
419,GENERAL_FITNESS,healthy body maintenance,I want to maintain a healthy body
420,GENERAL_FITNESS,fitness lifestyle change,I want to change my fitness lifestyle
421,GENERAL_FITNESS,body wellness improvement,I want body wellness improvement
422,GENERAL_FITNESS,fitness health improvement,I want fitness health improvement
423,GENERAL_FITNESS,fitness improvement focus,I want to focus on fitness improvement
424,GENERAL_FITNESS,fitness and strength,I want fitness and strength
425,GENERAL_FITNESS,overall fitness improvement,I want overall fitness improvement
426,GENERAL_FITNESS,fitness goal achievement,I want to achieve my fitness goals
427,SLEEP_PROBLEMS,insomnia,I am suffering from insomnia
428,SLEEP_PROBLEMS,sleeplessness,I have sleeplessness at night
429,SLEEP_PROBLEMS,poor sleep,I am not getting proper sleep
430,SLEEP_PROBLEMS,disturbed sleep,My sleep is very disturbed
431,SLEEP_PROBLEMS,lack of sleep,I have lack of sleep
432,SLEEP_PROBLEMS,night waking,I wake up many times at night
433,SLEEP_PROBLEMS,unable to sleep,I am unable to sleep properly
434,SLEEP_PROBLEMS,sleep disorder,I think I have a sleep disorder
435,SLEEP_PROBLEMS,irregular sleep,My sleep schedule is irregular
436,SLEEP_PROBLEMS,light sleep,I get very light sleep
437,SLEEP_PROBLEMS,deep sleep problem,I do not get deep sleep
438,SLEEP_PROBLEMS,broken sleep,My sleep breaks frequently
439,SLEEP_PROBLEMS,tired after sleep,I feel tired even after sleep
440,SLEEP_PROBLEMS,restless sleep,My sleep is restless
441,SLEEP_PROBLEMS,sleep anxiety,I feel anxious while sleeping
442,SLEEP_PROBLEMS,sleep stress,Stress affects my sleep
443,SLEEP_PROBLEMS,late night sleep,I sleep very late at night
444,SLEEP_PROBLEMS,early waking,I wake up too early
445,SLEEP_PROBLEMS,night restlessness,I feel restless at night
446,SLEEP_PROBLEMS,sleep discomfort,I feel discomfort while sleeping
447,SLEEP_PROBLEMS,mental disturbance at night,My mind disturbs me at night
448,SLEEP_PROBLEMS,night overthinking,I overthink at night
449,SLEEP_PROBLEMS,bedtime anxiety,I feel anxiety at bedtime
450,SLEEP_PROBLEMS,sleep quality issue,My sleep quality is poor
451,SLEEP_PROBLEMS,night tension,I feel tension at night
452,SLEEP_PROBLEMS,unable to relax at night,I cannot relax at night
453,SLEEP_PROBLEMS,poor night rest,I do not get proper night rest
454,SLEEP_PROBLEMS,irregular bedtime,My bedtime is irregular
455,SLEEP_PROBLEMS,sleep fatigue,I feel fatigue due to poor sleep
456,SLEEP_PROBLEMS,night discomfort,I feel discomfort during night
457,SLEEP_PROBLEMS,stressful sleep,My sleep is stressful
458,SLEEP_PROBLEMS,mental noise at night,My mind does not calm down at night
459,SLEEP_PROBLEMS,sleep problem continuously,I have continuous sleep problems
460,SLEEP_PROBLEMS,sleep disturbance,I have sleep disturbance
461,SLEEP_PROBLEMS,night anxiety attacks,I get anxiety attacks at night
462,SLEEP_PROBLEMS,poor rest,I am not getting enough rest
463,SLEEP_PROBLEMS,sleep imbalance,My sleep cycle is imbalanced
464,SLEEP_PROBLEMS,night rest problem,I have night rest problems
465,SLEEP_PROBLEMS,difficulty falling asleep,I find it hard to fall asleep
466,SLEEP_PROBLEMS,frequent night waking,I wake frequently at night
467,SLEEP_PROBLEMS,mental stress at night,Mental stress affects my sleep
468,SLEEP_PROBLEMS,sleep tension,I feel tension while sleeping
469,SLEEP_PROBLEMS,sleep exhaustion,Poor sleep makes me exhausted
470,SLEEP_PROBLEMS,night sleep issue,I have night sleep issues
471,SLEEP_PROBLEMS,irregular sleep cycle,My sleep cycle is irregular
472,SLEEP_PROBLEMS,disturbed night rest,My night rest is disturbed
473,SLEEP_PROBLEMS,sleep discomfort problem,I have discomfort while sleeping
474,SLEEP_PROBLEMS,sleep health issue,My sleep is affecting my health
475,SLEEP_PROBLEMS,sleep recovery problem,Sleep is not helping me recover
476,SLEEP_PROBLEMS,night mental activity,My brain stays active at night
477,SLEEP_PROBLEMS,sleep pressure,I feel pressure to sleep
478,SLEEP_PROBLEMS,sleep routine issue,I have sleep routine issues
479,SLEEP_PROBLEMS,sleep habit problem,My sleep habits are bad
480,SLEEP_PROBLEMS,night worry,I worry too much at night
481,SLEEP_PROBLEMS,sleep tension problem,Tension causes sleep problems
482,SLEEP_PROBLEMS,night fear,I feel fear at night
483,SLEEP_PROBLEMS,bedtime stress,I feel stress before sleep
484,SLEEP_PROBLEMS,poor relaxation at night,I cannot relax at night
485,SLEEP_PROBLEMS,sleep disturbance daily,I face sleep disturbance daily
486,SLEEP_PROBLEMS,sleep quality loss,My sleep quality is lost
487,SLEEP_PROBLEMS,night sleep anxiety,I feel anxious during night sleep
488,SLEEP_PROBLEMS,sleep instability,My sleep is unstable
489,SLEEP_PROBLEMS,sleep exhaustion problem,Poor sleep exhausts me
490,SLEEP_PROBLEMS,night restlessness problem,I have night restlessness problem
491,SLEEP_PROBLEMS,sleep difficulty problem,I have difficulty sleeping
492,SLEEP_PROBLEMS,mental unrest at night,My mind is restless at night
493,SLEEP_PROBLEMS,sleep imbalance problem,I have sleep imbalance problem
494,SLEEP_PROBLEMS,sleep stress disorder,Stress causes sleep disorder
495,SLEEP_PROBLEMS,night calmness issue,I cannot feel calm at night
496,SLEEP_PROBLEMS,poor sleep health,My sleep health is poor
